smiles,Ki,leaked
CC(C)(NC(=O)NCc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1,10000.0,False
CC(C)(O)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,1100.0,False
CC(C)(Oc1ccc(Cl)cc1)C(=O)Nc1nc(-c2ccccc2)n[nH]1,8800.0,False
CC(C)=CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,0.8,False
CC(C)=CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,110.0,False
CC(C)C(=O)N[C@H]1C[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4cn(C(C)C)cn4)nc32)[C@H](O)[C@@H]1O,27.0,False
CC(C)C(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,376.0,False
CC(C)C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,300.0,False
CC(C)C(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,197.0,False
CC(C)C(=O)Nc1nc(-c2ccccc2)c(C#N)c(-c2ccccc2)n1,35.3,False
CC(C)CC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,157.0,False
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,74.5,False
CC(C)CC(=O)Nc1nc(-c2ccccc2)c(-c2ncon2)s1,340.0,False
CC(C)CCNc1ccc(C(=O)Nc2nccs2)cc1,730.0,False
CC(C)CCc1c(-c2nccs2)c(=O)[nH]c2ccc(OCC(=O)NC(C)(C)c3ccccc3)cc12,1080.0,False
CC(C)CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,0.78,False
CC(C)CCn1cc2c(nc(NC(=O)C(c3ccccc3)c3ccccc3)n3nc(-c4ccco4)nc23)n1,158.745,False
CC(C)CCn1cc2c(nc(NC(=O)CCCNC(=O)OC(C)(C)C)n3nc(-c4ccco4)nc23)n1,296.06,False
CC(C)CCn1cc2c(nc(NC(=O)COc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,16.16,False
